Time,LVMH,LOREAL,HERMES INTL.,TOTALENERGIES,SANOFI,BNP PARIBAS,SCHNEIDER ELECTRIC,ESSILORLUXOTTICA,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,AXA,IBERDROLA,KERING,BANCO SANTANDER,INTESA SANPAOLO,VINCI,SAFRAN,STELLANTIS,ING GROEP,PERNOD-RICARD,BBV.ARGENTARIA,DANONE,UNICREDIT,CRH,NOKIA,KONINKLIJKE AHOLD DELHAIZE,ALLIANZ (XET),BASF (XET),BAYER (XET),BMW (XET),SIEMENS (XET)
1994-01-27,17.9494,18.4047,8.859,11.9236,9.599,20.8614,16.7582,5.7549,16.7504,10.4273,0.8833,26.539,1.6677,0.9473,10.871,9.4315,4.4151,6.0272,16.9706,1.6847,17.1904,27.1181,4.13,0.8278,6.5376,113.897,7.498,16.982,10.535,21.24
1994-02-27,17.7814,17.2683,9.0453,12.0364,9.013,19.6485,16.4946,5.7092,15.7288,10.104,0.8281,24.7917,1.5957,0.9876,10.4354,8.7113,4.6429,6.0064,16.0543,1.6949,16.3272,31.2883,4.026,0.812,6.4735,104.785,7.516,16.803,12.619,20.149
1994-03-27,19.1666,16.908,9.1639,11.9236,9.0216,18.2592,15.8167,5.5263,15.8252,8.9622,0.7966,23.5002,1.591,0.9473,9.2424,8.2119,4.9676,5.6236,15.4591,1.6289,15.3742,28.6551,4.329,1.0696,6.3069,103.128,8.288,18.123,12.528,20.983
1994-04-27,20.7109,16.8387,8.9776,12.8263,8.5219,18.6121,16.9766,5.7778,15.5553,9.2236,0.7729,25.0702,1.3495,1.0189,9.4295,8.6765,6.6881,5.4217,14.9932,1.6568,15.4102,31.8721,4.162,1.2062,6.0633,109.672,8.666,18.665,13.497,22.467
1994-05-27,20.1204,16.2427,8.9776,11.7355,7.9187,18.7444,14.687,5.3738,15.1698,8.9278,0.8045,25.9614,1.4099,0.9272,9.1676,8.3774,6.4507,5.2895,14.9188,1.6492,15.4641,26.6296,3.691,1.0775,5.8967,101.268,8.009,17.128,13.099,20.581
1994-06-27,19.2348,15.328,9.13,11.6264,7.2897,17.5315,13.2183,5.107,14.418,7.848,0.739,23.6215,1.2517,0.905,7.4875,7.3175,6.1502,5.1712,14.954,1.4995,14.2774,24.9019,3.43,1.1248,5.589,98.05,7.657,16.167,12.206,19.478
1994-07-27,21.4331,16.908,9.9939,11.5023,8.2892,18.9649,15.4778,5.8998,15.7673,9.2924,0.7351,27.2985,1.4015,0.8697,8.61,7.7676,6.4749,5.4983,15.976,1.5223,14.7988,25.6168,4.057,1.3455,5.8711,105.731,7.925,16.874,13.676,20.134
1994-08-27,22.2574,17.0881,9.96,11.8107,8.2806,18.149,16.0803,5.8007,15.9215,8.9347,0.7043,26.5464,1.4455,0.8677,8.494,7.2304,6.3586,5.5681,15.6471,1.5452,15.2124,26.3317,3.885,1.3928,5.9736,104.057,8.406,17.51,13.249,20.804
1994-09-27,21.2582,15.2865,10.5529,12.0364,8.2272,17.4139,14.2689,5.8617,15.6266,7.817,0.6499,25.5714,1.4015,0.8748,7.7008,7.2885,6.5767,5.2057,14.0965,1.6289,13.0906,26.3913,3.743,1.4559,6.3069,100.925,7.802,16.619,12.213,19.454
1994-10-27,20.309,14.746,10.2818,12.1493,8.5477,18.0534,14.3104,5.8312,14.8633,8.1196,0.6396,25.655,1.3988,0.8748,7.4837,7.5208,5.8158,5.373,13.5326,1.6238,12.659,21.2412,3.681,1.8396,6.2556,96.848,7.915,16.096,11.921,18.36
